stage,domain,cpc_code,section,class,subclass,main_group,subgroup,match_level,description
domain,energy,Y02E,Y,02,E,,,subclass,Reduction of greenhouse gas emissions related to energy generation
domain,energy,H01M,H,01,M,,,subclass,Processes or means for converting chemical into electrical energy (batteries; fuel cells)
domain,energy,F03D,F,03,D,,,subclass,Wind motors
domain,energy,H02S,H,02,S,,,subclass,Generation of electric power by photovoltaic conversion
domain,energy,H02J,H,02,J,,,subclass,Circuit arrangements for AC/DC supply or distribution of electric power
domain,energy,Y04S,Y,04,S,,,subclass,Smart grids
domain,energy,F01,F,01,,,,class,Machines or engines in general; steam engines
domain,energy,F02,F,02,,,,class,Combustion engines
domain,energy,F03,F,03,,,,class,Machines or engines for liquids; wind/spring/weight/miscellaneous motors
domain,energy,G06Q50/06,G,06,Q,50,06,group,"Systems or methods for electricity, gas or water supply"
domain,energy,G06Q10/04,G,06,Q,10,04,group,Forecasting or optimisation in administration or management
domain,water,C02F,C,02,F,,,subclass,"Treatment of water, waste water, sewage or sludge"
domain,water,E03B,E,03,B,,,subclass,Installations or methods for obtaining/collecting/distributing water
domain,water,E03F,E,03,F,,,subclass,Sewers; cesspools
domain,water,B01D,B,01,D,,,subclass,Separation (filtration; membranes)
domain,water,G01N33/18,G,01,N,33,18,group,Investigating or analysing materials — water
domain,water,G01M3,G,01,M,3,,group,Investigating fluid-tightness of structures (leak detection)
domain,water,G06Q50/06,G,06,Q,50,06,group,"Systems or methods for electricity, gas or water supply"
domain,healthcare,A61B,A,61,B,,,subclass,Diagnosis; surgery; identification
domain,healthcare,A61B5,A,61,B,5,,group,Measuring for diagnostic purposes; identification of persons
domain,healthcare,G16H,G,16,H,,,subclass,Healthcare informatics
domain,healthcare,G16H50/20,G,16,H,50,20,group,ICT for computer-aided medical diagnosis or treatment planning
domain,healthcare,G16B,G,16,B,,,subclass,Bioinformatics
domain,healthcare,G16C,G,16,C,,,subclass,Computational chemistry; chemoinformatics; computational materials science
domain,healthcare,G06V,G,06,V,,,subclass,Image or video recognition or understanding
domain,healthcare,G06Q50/22,G,06,Q,50,22,group,Social work; healthcare administration
