stage,domain,keyword,match_type,note
domain,energy,energy,substring,
domain,energy,power grid,substring,
domain,energy,smart grid,substring,
domain,energy,renewable,substring,
domain,energy,photovoltaic,substring,
domain,energy,solar,substring,
domain,energy,wind turbine,substring,
domain,energy,battery,substring,
domain,energy,energy storage,substring,
domain,energy,load forecast,substring,
domain,water,drinking water,substring,
domain,water,water supply,substring,
domain,water,water treatment,substring,
domain,water,water distribution,substring,
domain,water,leak detection,substring,
domain,water,wastewater,substring,
domain,water,water quality,substring,
domain,water,desalination,substring,
domain,healthcare,medical,substring,
domain,healthcare,clinical,substring,
domain,healthcare,diagnosis,substring,
domain,healthcare,diagnostic,substring,
domain,healthcare,patient,substring,
domain,healthcare,healthcare,substring,
domain,healthcare,medical imaging,substring,
domain,healthcare,radiology,substring,
domain,healthcare,disease,substring,
domain,healthcare,drug discovery,substring,
domain,healthcare,electronic health record,substring,
domain,nuclear,nuclear,substring,
domain,nuclear,reactor,substring,
domain,nuclear,radiation,substring,
domain,nuclear,radioactive,substring,
domain,nuclear,fission,substring,
domain,nuclear,fusion,substring,
domain,nuclear,nuclear power,substring,
domain,nuclear,fuel rod,substring,
domain,nuclear,dosimetry,substring,
domain,crime,law enforcement,substring,
domain,crime,forensic,substring,
domain,crime,surveillance,substring,
domain,crime,crime,substring,
domain,crime,suspect,substring,
domain,crime,facial recognition,substring,
domain,crime,biometric,substring,
domain,crime,fingerprint,substring,
domain,crime,predictive policing,substring,
domain,crime,CCTV,substring,
domain,hr,recruitment,substring,
domain,hr,hiring,substring,
domain,hr,applicant,substring,
domain,hr,candidate,substring,
domain,hr,resume,substring,
domain,hr,talent acquisition,substring,
domain,hr,screening,substring,
domain,hr,interview,substring,
domain,hr,personnel selection,substring,
domain,loan,credit scoring,substring,
domain,loan,loan,substring,
domain,loan,creditworthiness,substring,
domain,loan,credit risk,substring,
domain,loan,underwriting,substring,
domain,loan,lending,substring,
domain,loan,default prediction,substring,
domain,loan,credit decision,substring,
domain,vehicle,autonomous vehicle,substring,
domain,vehicle,self-driving,substring,
domain,vehicle,ADAS,substring,
domain,vehicle,vehicle,substring,
domain,vehicle,driving,substring,
domain,vehicle,automotive,substring,
domain,vehicle,traffic,substring,
domain,vehicle,lane,word_boundary,"Substring matching would also hit plane / airplane / planet"
domain,ship,vessel,substring,
domain,ship,marine,substring,
domain,ship,maritime,substring,
domain,ship,navigation,substring,
domain,ship,autonomous ship,substring,
domain,ship,watercraft,substring,
domain,ship,ship,word_boundary,"Substring matching would also hit relationship / membership / ownership / leadership"
domain,aviation,aircraft,substring,
domain,aviation,aviation,substring,
domain,aviation,flight,substring,
domain,aviation,air traffic,substring,
domain,aviation,drone,substring,
domain,aviation,avionics,substring,
domain,aviation,unmanned aerial vehicle,substring,
domain,aviation,UAV,word_boundary,"Substring matching would also hit guava and similar words"
domain,rail,railway,substring,
domain,rail,railway train,substring,
domain,rail,railway track,substring,
domain,rail,train track,substring,
domain,rail,railway signaling,substring,
domain,rail,train signaling,substring,
domain,rail,locomotive,substring,
domain,rail,railroad,substring,
domain,rail,rail,word_boundary,"Substring matching would also hit trail / trailer / frail"
domain,public,public service,substring,
domain,public,government service,substring,
domain,public,welfare,substring,
domain,public,public benefit,substring,
domain,public,eligibility,substring,
domain,public,public assistance,substring,
domain,public,e-government,substring,
domain,education,education,substring,
domain,education,student,substring,
domain,education,e-learning,substring,
domain,education,tutoring,substring,
domain,education,assessment,substring,
domain,education,grading,substring,
domain,education,intelligent tutoring,substring,
domain,education,student learning,substring,
domain,education,personalized learning,substring,
domain,education,learning outcome,substring,
domain,immigration,immigration,substring,
domain,immigration,asylum,substring,
domain,immigration,border control,substring,
domain,immigration,migration,substring,
domain,immigration,passport,substring,
domain,immigration,customs,substring,
domain,immigration,biometric border,substring,
domain,immigration,visa,word_boundary,"Substring matching would also hit advisable and similar words"
domain,judicial,judicial,substring,
domain,judicial,justice,substring,
domain,judicial,sentencing,substring,
domain,judicial,litigation,substring,
domain,judicial,voting,substring,
domain,judicial,e-voting,substring,
domain,judicial,democratic,substring,
domain,judicial,court,word_boundary,Substring matching would also hit courtesy
domain,judicial,legal,word_boundary,Substring matching would also hit illegal
domain,judicial,election,word_boundary,"Substring matching would also hit selection, which is common in algorithm patents"
ai,ai,machine learning,substring,
ai,ai,deep learning,substring,
ai,ai,neural network,substring,
ai,ai,reinforcement learning,substring,
ai,ai,artificial intelligence,substring,
ai,ai,support vector machine,substring,
ai,ai,random forest,substring,
ai,ai,decision tree,substring,
ai,ai,naive bayes,substring,
ai,ai,hidden markov,substring,
ai,ai,convolutional neural,substring,
ai,ai,recurrent neural,substring,
ai,ai,generative adversarial,substring,
ai,ai,large language model,substring,
ai,ai,AI,word_boundary,"Substring matching would also hit contain / detail / maintain / said"
ai,ai,AI-based,word_boundary,
ai,ai,LLM,word_boundary,
